X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),Punch Type
0.431,0.466,0.472,0.726,0.163,0.29,0.085,0.058,0.078,left_nopunch
0.408,0.252,0.461,0.218,0.108,0.194,3.93,4.387,2.693,left_nopunch
0.436,0.219,0.566,0.593,0.206,0.368,3.641,2.05,1.919,left_nopunch
0.467,0.238,0.496,0.327,0.158,0.249,0.102,0.058,0.084,left_nopunch
0.308,0.221,0.321,0.331,0.112,0.179,9.453,7.41,4.636,left_nopunch
0.646,0.547,0.39,0.591,0.205,0.27,0.226,0.402,0.228,left_nopunch
0.363,0.188,0.531,0.515,0.197,0.307,6.559,5.511,4.351,left_nopunch
0.527,0.205,0.446,0.149,0.107,0.176,0.842,0.944,0.946,left_nopunch
0.484,0.302,0.478,0.469,0.203,0.361,0.067,0.052,0.104,left_nopunch
0.374,0.376,0.354,0.338,0.212,0.17,8.432,6.368,4.336,left_nopunch
0.392,0.305,0.271,0.431,0.167,0.181,0.185,0.281,0.346,left_nopunch
0.521,0.618,0.573,0.58,0.268,0.261,0.069,0.069,0.11,left_nopunch
0.278,0.188,0.378,0.496,0.162,0.24,0.186,0.206,0.253,left_nopunch
0.35,0.404,0.259,0.426,0.15,0.194,6.905,6.058,4.48,left_nopunch
0.299,0.541,0.279,0.618,0.181,0.342,0.119,0.084,0.133,left_nopunch
0.24,0.147,0.342,0.515,0.184,0.323,0.241,0.301,0.358,left_nopunch
0.307,0.183,0.365,0.239,0.125,0.163,7.402,6.532,4.334,left_nopunch
0.34,0.324,0.357,0.549,0.213,0.277,0.105,0.09,0.109,left_nopunch
0.215,0.358,0.174,0.194,0.122,0.089,0.148,0.1,0.201,left_nopunch
0.379,0.184,0.425,0.491,0.152,0.165,7.072,6.523,4.687,left_nopunch
0.311,0.224,0.259,0.293,0.194,0.244,0.211,0.138,0.259,left_nopunch
0.31,0.176,0.405,0.358,0.181,0.202,1.001,1.005,1.085,left_nopunch
0.239,0.246,0.423,0.206,0.104,0.052,6.856,6.122,4.805,left_nopunch
0.346,0.278,0.45,0.322,0.124,0.139,0.073,0.067,0.127,left_nopunch
0.371,0.141,0.381,0.512,0.237,0.21,6.833,5.117,3.472,left_nopunch
0.405,0.344,0.513,0.329,0.165,0.206,2.763,2.52,2.292,left_nopunch
0.669,0.638,0.534,0.445,0.177,0.255,0.067,0.049,0.078,left_nopunch
0.343,0.33,0.273,0.141,0.169,0.148,6.156,5.23,4.133,left_nopunch
0.245,0.265,0.316,0.356,0.178,0.155,1.799,1.902,1.358,left_nopunch
0.274,0.116,0.352,0.313,0.161,0.166,0.08,0.069,0.078,left_nopunch
0.411,0.209,0.43,0.22,0.175,0.175,0.101,0.063,0.096,left_nopunch
0.31,0.21,0.333,0.368,0.147,0.083,5.912,6.296,4.284,left_nopunch
0.247,0.21,0.385,0.416,0.1,0.23,0.151,0.175,0.246,left_nopunch
0.349,0.101,0.374,0.612,0.257,0.267,0.069,0.075,0.08,left_nopunch
0.444,0.172,0.431,0.409,0.198,0.328,7.358,6.117,5.373,left_nopunch
0.266,0.177,0.299,0.3,0.18,0.187,0.197,0.507,0.406,left_nopunch
0.241,0.359,0.362,0.223,0.112,0.109,0.088,0.065,0.127,left_nopunch
0.329,0.184,0.368,0.449,0.25,0.201,1.481,1.38,0.936,left_nopunch
0.224,0.143,0.33,0.081,0.1,0.086,5.76,4.995,3.232,left_nopunch
0.238,0.267,0.277,0.425,0.258,0.187,1.115,2.396,1.584,left_nopunch
0.396,0.357,0.46,0.273,0.242,0.139,6.969,7.555,6.099,left_nopunch
0.345,0.316,0.477,0.588,0.285,0.276,0.493,0.85,0.485,left_nopunch
,,,,,,0.07,0.07,0.101,left_nopunch
