X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (hPa),Punch Type
5.798,12.683,17.542,3.476,3.94,2.268,1010.519562,lu
5.249,12.558,16.738,3.813,3.436,1.71,1010.51857,lu
6.33,12.224,15.969,3.758,3.42,1.377,1010.51857,lu
7.631,13.403,18.197,4.223,3.325,1.869,1010.518112,lu
4.703,12.432,19.68,4.051,3.971,2.097,1010.52002,lu
6.976,10.609,18.41,4.584,3.276,1.672,1010.523224,lu
6.702,9.859,17.964,4.411,2.619,1.54,1010.524216,lu
7.584,10.954,15.188,3.767,3.066,1.589,1010.52803,lu
6.828,11.839,18.009,4.31,3.198,1.765,1010.530777,lu
5.536,12.463,20.25,4.433,3.008,1.943,1010.530777,lu
6.339,12.763,17.122,4.14,3.222,1.954,1010.527115,lu
6.275,11.957,19.228,4.171,2.96,1.937,1010.526886,lu
8.013,12.257,19.099,4.658,2.881,1.527,1010.524445,lu
6.7,12.219,18.314,4.642,2.748,1.355,1010.524445,lu
4.896,12.393,16.701,4.068,2.133,1.437,1010.522308,lu
8.21,3.716,4.714,0.443,0.394,0.466,1010.519409,lu
8.657,3.804,2.681,0.233,0.32,0.137,1010.52063,lu
8.185,4.397,2.656,0.348,0.63,0.686,1010.519791,lu
7.834,13.133,17.397,3.85,3.339,2.139,1010.52063,lu
5.949,6.539,10.845,3.765,2.618,1.414,1010.528793,lu
7.647,5.842,8.37,2.16,2.694,1.085,1010.532455,lu
7.247,9.792,12.586,3.647,2.219,1.136,1010.532455,lu
7.202,14.523,21.405,4.368,3.354,2.874,1010.531616,lu
8.127,17.79,26.305,4.686,3.089,2.528,1010.530777,lu
7.859,14.505,22.3,4.632,3.158,2.173,1010.53009,lu
7.311,13.91,21.546,4.666,2.211,2.034,1010.530319,lu
6.962,10.475,13.491,2.937,3.001,1.81,1010.530319,lu
8.027,4.495,9.595,2.093,1.395,1.489,1010.530319,lu
7.912,10.004,12.864,3.054,2.527,1.722,1010.526886,lu
6.758,11.155,16.46,3.973,4.364,1.78,1010.518112,lu
8.072,11.082,17.82,4.466,3.076,2.032,1010.515366,lu
10.205,13.547,18.647,4.417,5.059,3.112,1010.508881,lu
9.634,10.79,13.555,3.818,4.916,1.053,1010.508881,lu
8.2,12.183,17.898,4.156,4.397,2.003,1010.512161,lu
7.2,12.261,18.456,4.058,2.757,1.309,1010.515366,lu
7.159,2.056,6.505,0.666,0.716,0.413,1010.51857,lu
9.009,5.519,11.144,2.952,2.785,1.965,1010.523605,lu
11.209,21.534,27.927,6.303,3.816,1.972,1010.523605,lu
7.286,12.543,19.813,5.459,3.022,1.264,1010.52124,lu
12.739,10.819,15.925,4.49,2.361,1.824,1010.518341,lu
7.187,4.479,12.821,2.494,2.283,1.255,1010.515137,lu
8.081,11.13,7.903,2.392,1.922,1.174,1010.513077,lu
5.938,12.281,18.1,4.284,2.53,1.63,1010.510788,lu
7.936,12.689,20.148,5.103,2.579,1.448,1010.508804,lu
7.221,12.73,21.546,5.06,3.089,1.808,1010.508804,lu
7.313,10.088,16.989,4.388,2.925,1.263,1010.495224,lu
4.653,7.606,15.715,3.787,1.92,1.654,1010.489731,lu
5.036,6.492,9.857,1.802,1.128,0.787,1010.481873,lu
6.153,3.415,6.696,0.259,0.438,0.322,1010.481873,lu
6.624,3.754,5.907,0.221,0.258,0.133,1010.481262,lu
7.152,4.366,6.089,0.186,0.347,0.428,1010.482254,lu
6.359,5.687,12.044,1.94,2.048,2.145,1010.481262,lu
9.299,13.288,18.11,4.629,2.892,1.742,1010.482254,lu
7.075,12.094,17.132,4.3,2.348,1.584,1010.48233,lu
6.769,11.365,17.645,4.557,2.175,1.502,1010.483856,lu
8.256,11.458,17.91,4.88,2.524,1.578,1010.499115,lu
6.277,13.772,22.472,4.966,2.97,1.962,1010.51178,lu
5.719,13.423,20.934,4.711,2.32,1.825,1010.513687,lu
7.927,3.2,3.844,0.71,0.964,0.767,1010.513687,lu
8.83,1.639,3.799,0.185,0.34,0.14,1010.511856,lu
7.409,2.504,6.56,1.964,0.577,0.751,1010.5264692365593,lu
8.326,1.212,4.229,1.479,1.392,1.32,1010.5264692365593,lu
7.65,12.494,21.22,4.91,3.31,2.085,1010.5264692365593,lu
9.911,12.439,17.979,4.548,2.773,1.339,1010.5264692365593,lu
7.01,6.044,2.754,0.391,0.434,0.451,1010.5264692365593,lu
7.069,6.815,1.724,0.154,0.592,0.141,1010.5264692365593,lu
7.471,5.964,2.551,0.388,0.169,0.14,1010.5264692365593,lu
7.415,9.693,15.096,2.821,2.539,1.794,1010.5264692365593,lu
6.401,13.431,19.393,4.659,3.308,1.68,1010.5264692365593,lu
5.902,11.173,13.704,3.16,3.421,1.462,1010.5264692365593,lu
11.374,15.662,19.059,4.793,4.588,2.868,1010.5264692365593,lu
6.49,7.002,14.158,3.065,3.66,1.181,1010.5264692365593,lu
4.853,4.107,9.346,1.645,0.787,0.504,1010.5264692365593,lu
3.817,3.545,8.571,0.267,0.502,0.313,1010.5264692365593,lu
6.714,3.267,5.95,0.54,1.427,0.706,1010.5264692365593,lu
8.41,14.491,23.32,5.025,4.036,2.212,1010.5264692365593,lu
9.379,14.967,22.971,5.165,3.154,1.934,1010.5264692365593,lu
8.212,16.762,26.841,5.462,2.933,2.067,1010.5264692365593,lu
11.31,13.814,16.1,3.857,3.851,2.573,1010.5264692365593,lu
8.826,10.641,11.714,3.318,3.132,1.532,1010.5264692365593,lu
12.218,6.512,11.773,4.176,2.693,1.616,1010.5264692365593,lu
7.828,5.405,15.266,2.705,2.86,1.523,1010.5264692365593,lu
12.49,12.809,14.266,4.694,2.733,1.876,1010.5264692365593,lu
