,X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),Punch Type
4496,2.213,6.102,3.057,8.084,11.767,9.358,jab
4497,0.231,0.166,0.125,0.481,0.463,0.521,leftnopunch
4498,3.267,2.473,2.303,11.517,14.154,10.201,rightuppercut
4499,0.929,4.059,2.396,4.732,6.383,3.832,cross
4500,0.469,0.649,0.237,1.386,1.299,0.631,cross
4501,0.754,0.82,1.195,4.26,3.258,2.086,cross
4502,0.093,0.182,0.095,0.317,0.278,0.211,leftnopunch
4503,0.753,0.416,0.542,1.004,0.667,0.995,rightnopunch
4504,0.495,0.398,0.186,0.85,0.553,0.723,leftnopunch
4505,0.108,0.066,0.03,0.142,0.184,0.176,righthook
4506,0.709,1.184,0.529,3.004,1.382,2.781,jab
4507,2.158,4.709,2.538,8.597,12.269,8.079,jab
4508,0.878,1.003,1.59,1.882,1.743,1.395,lefthook
4509,0.172,0.471,0.24,0.249,0.336,0.509,cross
4510,0.595,0.951,0.256,1.194,1.481,0.686,jab
4511,0.659,0.403,1.009,3.803,3.776,1.702,rightuppercut
4512,0.522,0.277,0.222,1.009,1.141,0.661,jab
4513,0.186,0.217,0.12,0.316,0.414,0.526,leftnopunch
4514,0.261,0.506,0.327,0.404,0.5,0.726,jab
4515,2.096,3.073,5.24,16.895,16.722,10.394,righthook
4516,0.356,0.213,0.503,0.664,1.961,1.196,lefthook
4517,0.59,0.38,0.328,1.952,1.807,1.092,leftnopunch
4518,0.374,0.129,0.131,0.238,0.573,0.57,rightuppercut
4519,4.328,3.007,2.783,13.587,20.709,18.604,rightuppercut
4520,4.337,3.031,3.615,11.432,19.279,18.335,rightuppercut
4521,0.245,0.276,0.139,0.343,0.461,0.721,leftnopunch
4522,0.494,0.32,0.24,0.617,0.44,0.336,leftnopunch
4523,0.377,1.834,0.809,3.136,3.156,3.136,jab
4524,0.819,3.405,2.729,3.087,8.234,3.453,cross
4525,0.693,0.233,0.255,0.755,0.425,0.711,leftnopunch
4526,0.02,0.044,0.024,0.114,0.069,0.216,jab
4527,0.835,2.119,0.727,1.923,3.032,2.153,jab
4528,0.276,0.147,0.22,0.516,0.537,0.383,rightnopunch
4529,0.782,0.777,1.431,5.187,3.732,2.361,cross
4530,2.557,3.449,2.898,8.496,10.376,12.626,rightuppercut
4531,0.408,0.34,0.359,0.444,0.295,0.427,leftnopunch
4532,3.858,1.681,1.083,4.764,13.974,13.044,leftuppercut
4533,3.17,1.95,3.765,8.513,13.35,11.725,lefthook
4534,0.464,1.208,0.497,1.525,1.516,0.928,leftuppercut
4535,0.818,1.523,0.182,1.648,1.273,1.254,lefthook
4536,2.128,1.993,1.964,4.83,7.816,10.402,rightuppercut
4537,3.071,1.285,1.468,4.551,6.139,8.595,rightuppercut
4538,0.459,0.209,0.209,0.453,0.381,0.689,leftnopunch
