X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (hPa),Punch Type
7.162,10.383,7.155,1.616,3.633,2.802,1012.923737,jab
8.818,1.052,4.71,1.606,0.568,1.358,1012.921982,jab
7.884,3.615,4.223,0.352,0.641,0.304,1012.920303,jab
7.703,11.084,6.295,0.691,2.504,1.418,1012.919846,jab
8.035,17.202,7.718,1.395,4.854,2.459,1012.954253344086,jab
8.867,19.108,8.488,1.949,5.405,2.677,1012.954253344086,jab
6.581,5.035,7.025,0.556,2.179,0.899,1012.954253344086,jab
9.029,6.03,5.558,0.947,1.322,1.285,1012.954253344086,jab
8.598,1.371,4.527,0.313,0.326,0.196,1012.954253344086,jab
8.106,2.104,5.001,0.106,0.204,0.131,1012.954253344086,jab
7.389,4.576,4.56,0.661,1.6,0.843,1012.954253344086,jab
6.481,7.172,6.822,0.589,1.564,0.963,1012.954253344086,jab
5.614,6.465,6.488,0.811,1.74,1.519,1012.954253344086,jab
8.803,1.9,3.659,0.249,0.397,0.255,1012.954253344086,jab
9.136,2.926,2.459,0.385,0.339,0.223,1012.954253344086,jab
9.176,2.749,2.706,0.443,0.255,0.376,1012.954253344086,jab
8.404,4.056,2.85,0.625,0.432,0.351,1012.954253344086,jab
6.384,11.963,5.959,0.941,2.948,1.594,1012.954253344086,jab
8.65,19.421,8.109,1.596,5.52,2.761,1012.954253344086,jab
6.124,11.643,6.596,1.059,3.434,1.979,1012.954253344086,jab
8.365,2.108,5.479,0.395,0.813,0.434,1012.954253344086,jab
9.047,3.619,4.682,0.282,0.493,0.274,1012.954253344086,jab
6.233,6.584,6.483,0.88,2.336,1.383,1012.954253344086,jab
7.626,7.263,5.062,0.965,3.093,1.651,1012.954253344086,jab
9.262,10.416,4.832,1.117,4.022,2.512,1012.954253344086,jab
9.561,13.182,6.299,1.211,4.841,2.604,1012.954253344086,jab
6.673,12.105,6.341,1.027,4.559,2.962,1012.954253344086,jab
